20:48:12 INFO  manager.ApplicationManager - All tests start in ChromeBrowser
20:48:15 INFO  tests.TestsBase - Name of test --->addContactSuccess
20:48:15 INFO  manager.MyListener - Start find element ---> By.xpath: //*[.='Sign Out']
20:48:20 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[.='Sign Out'] was found
20:48:20 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/login']
20:48:20 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/login'] was found
20:48:21 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Email']
20:48:21 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Email'] was found
20:48:22 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Password']
20:48:22 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Password'] was found
20:48:22 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.=' Login']
20:48:22 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.=' Login'] was found
20:48:22 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
20:48:24 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
20:48:24 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/add']
20:48:24 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/add'] was found
20:48:24 INFO  manager.MyListener - Start find element ---> By.xpath: (//input[@placeholder='Name'])
20:48:24 INFO  manager.MyListener - Element with locator ---> By.xpath: (//input[@placeholder='Name']) was found
20:48:24 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Last Name']
20:48:24 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Last Name'] was found
20:48:25 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Phone']
20:48:25 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Phone'] was found
20:48:26 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='email']
20:48:26 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='email'] was found
20:48:26 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Address']
20:48:26 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Address'] was found
20:48:27 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='description']
20:48:27 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='description'] was found
20:48:27 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.='Save']
20:48:27 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.='Save'] was found
20:48:28 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
20:48:28 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
20:48:28 INFO  manager.MyListener - Start find element ---> By.cssSelector: h2
20:48:28 INFO  manager.MyListener - Element with locator ---> By.cssSelector: h2 was found
20:48:28 INFO  manager.MyListener - Start find element ---> By.cssSelector: h3
20:48:28 INFO  manager.MyListener - Element with locator ---> By.cssSelector: h3 was found
20:48:29 INFO  tests.TestsBase - Name of test --->loginNegativeTestWithWrongPassword
20:48:29 INFO  manager.MyListener - Start find element ---> By.xpath: //*[.='Sign Out']
20:48:29 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[.='Sign Out'] was found
20:48:29 INFO  manager.MyListener - Start find element ---> By.xpath: //*[.='Sign Out']
20:48:29 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[.='Sign Out'] was found
20:48:29 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/login']
20:48:29 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/login'] was found
20:48:30 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Email']
20:48:30 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Email'] was found
20:48:30 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Password']
20:48:30 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Password'] was found
20:48:31 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.=' Login']
20:48:31 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.=' Login'] was found
20:48:31 INFO  tests.TestsBase - Name of test --->loginSuccess
20:48:31 INFO  manager.MyListener - Start find element ---> By.xpath: //*[.='Sign Out']
20:48:36 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[.='Sign Out'] was found
20:48:36 INFO  tests.TestsBase - Test starts with: email [noa@gmail.com] & password [Nnoa12345$]
20:48:36 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/login']
20:48:36 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/login'] was found
20:48:37 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Email']
20:48:37 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Email'] was found
20:48:37 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Password']
20:48:37 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Password'] was found
20:48:38 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.=' Login']
20:48:38 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.=' Login'] was found
20:48:38 INFO  manager.MyListener - Start find element ---> By.cssSelector: button
20:48:38 INFO  manager.MyListener - Element with locator ---> By.cssSelector: button was found
20:48:38 INFO  tests.TestsBase - Name of test --->loginSuccessDataProvider
20:48:38 INFO  manager.MyListener - Start find element ---> By.xpath: //*[.='Sign Out']
20:48:38 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[.='Sign Out'] was found
20:48:38 INFO  manager.MyListener - Start find element ---> By.xpath: //*[.='Sign Out']
20:48:38 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[.='Sign Out'] was found
20:48:39 INFO  tests.TestsBase - Test starts with 'email':noa@gmail.com & 'password': Nnoa12345$
20:48:39 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/login']
20:48:39 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/login'] was found
20:48:39 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Email']
20:48:39 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Email'] was found
20:48:39 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Password']
20:48:39 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Password'] was found
20:48:40 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.=' Login']
20:48:40 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.=' Login'] was found
20:48:40 INFO  manager.MyListener - Start find element ---> By.cssSelector: button
20:48:40 INFO  manager.MyListener - Element with locator ---> By.cssSelector: button was found
